RANK,COMPANY,SYMBOL,REVENUES($M),WEBSITE,Twitter Handle,Industry
1,Walmart,WMT,482130,www.walmart.com,walmart,Retail
2,Exxon Mobil,XOM,246204,www.exxonmobil.com,exxonmobil,Energy
3,Apple,APPL,233715,www.apple.com,Apple,Technology
4,Berkshire Hathaway,BRK.B,210821,www.berkshirehathaway.com,BHHSRealEstate,Financials
5,McKesson,MCK,181241,www.mckesson.com,McKesson,Health Care
6,UnitedHealth Group,UNH,157107,www.unitedhealthgroup.com,UnitedHealthGrp,Health Care
7,CVS Health,CVS,153290,www.cvshealth.com,CVSHealth,Health Care
8,General Motors,GM,152356,www.gm.com,GM,Motor Vehicle and Parts
9,Ford Motor,F,149558,www.ford.com,Ford,Motor Vehicle and Parts
10,AT&T,T,146801,www.att.com,ATT,Telecommunications
11,General Electric,GE,140389,www.ge.com,generalelectric,Industrials
12,AmerisourceBergen,ABC,135962,www.amerisourcebergen.com,Healthcare_ABC,Health Care
13,Verizon,VZ,131620,www.verizon.com,verizon,Telecommunications
14,Chevron,CVX,131118,www.chevron.com,Chevron,Energy
15,Costco,COST,116199,www.costco.com,Costco,Retail
16,Fannie Mae,FNMA,110359,www.fanniemae.com,FannieMae,Financials
17,Kroger,KR,109830,www.thekrogerco.com,Kroeger,Food and Drugs
18,Amazon.com,AMZN,107006,www.amazon.com,amazon,Retail
19,Walgreens,WAG,103444,www.walgreensbootsalliance.com,Walgreens,Food and Drugs
20,HP,HPQ,103355,www.hp.com,HP,Technology
21,Cardinal Health,CAH,102531,www.cardinal.com,cardinalhealth,Health Care
22,Express Scripts Holding,ESRX,101752,www.express-scripts.com,ExpressScripts,Health Care
23,J.P. Morgan Chase,JPM,101006,www.jpmorganchase.com,jpmorgan,Financials
24,Boeing,BA,96114,www.boeing.com,Boeing,AeroSpace and Defense
25,Microsoft,MSFT,93580,www.microsoft.com,Microsoft,Technology
26,Bank of America Corp.,BAC,93056,www.bankofamerica.com,BankofAmerica,Financials
27,Wells Fargo,WFC,90033,www.wellsfargo.com,WellsFargo,Financials
28,Home Depot,HD,88519,www.homedepot.com,HomeDepot,Retail
29,Citigroup,C,88275,www.citigroup.com,Citi,Financials
30,Phillips 66,PSX,87169,www.phillips66.com,Phillips66Co,Energy
31,IBM,IBM,82461,www.ibm.com,IBM,Technology
32,Valero Energy,VLO,81824,www.valero.com,ValeroEnergy,Energy
33,Anthem,ANTM,79157,www.antheminc.com,AnthemInc,Health Care
34,Procter & Gamble,PG,78756,www.pg.com,ProcterGamble,Household Products
35,State Farm Insurance Cos.,STFGX,75697,www.statefarm.com,StateFarm,Financials
36,Alphabet,GOOGL,74989,www.google.com,google,Technology
37,Comcast,CMCSA,74510,www.comcastcorporation.com,comcast,Telecommunications
38,Target,TGT,73785,www.target.com,Target,Retail
39,Johnson & Johnson,JNJ,70074,www.jnj.com,JNJNews,Health Care
40,MetLife,MET,69951,www.metlife.com,MetLife,Financials
41,Archer Daniels Midland,ADM,67702,www.adm.com,ADMupdates,Food and Beverage
42,Marathon Petroleum,MPC,64566,www.marathonpetroleum.com,MarathonPetroCo,Energy
